,ts,day,price,updatetime,POC
0,1627056150110,2021-07-24,2045.0,00:02:30,2042.5
1,1627056300110,2021-07-24,2037.59,00:05:00,2041.0
2,1627056450110,2021-07-24,2028.24,00:07:30,2030.0
3,1627056600110,2021-07-24,2029.1,00:10:00,2031.4
4,1627056750110,2021-07-24,2023.82,00:12:30,2026.4
5,1627056900110,2021-07-24,2026.41,00:15:00,2024.7
6,1627057050110,2021-07-24,2022.59,00:17:30,2023.4
7,1627057200110,2021-07-24,2014.98,00:20:00,2019.0
8,1627057350110,2021-07-24,2012.84,00:22:30,2015.0
9,1627057500110,2021-07-24,2016.38,00:25:00,2015.6
10,1627057650110,2021-07-24,2020.15,00:27:30,2016.0
11,1627057800110,2021-07-24,2017.91,00:30:00,2017.4
12,1627057950110,2021-07-24,2018.28,00:32:30,2017.0
13,1627058100110,2021-07-24,2013.0,00:35:00,2015.2
14,1627058250110,2021-07-24,2018.31,00:37:30,2012.5
15,1627058400110,2021-07-24,2015.4,00:40:00,2019.0
16,1627058550110,2021-07-24,2018.37,00:42:30,2020.0
17,1627058700110,2021-07-24,2016.05,00:45:00,2017.2
18,1627058850110,2021-07-24,2021.99,00:47:30,2022.2
19,1627059000110,2021-07-24,2019.83,00:50:00,2020.6
20,1627059150110,2021-07-24,2018.81,00:52:30,2017.2
21,1627059300110,2021-07-24,2020.19,00:55:00,2019.1
22,1627059450110,2021-07-24,2015.81,00:57:30,2016.0
23,1627059600110,2021-07-24,2015.8,01:00:00,2015.0
24,1627059750110,2021-07-24,2017.62,01:02:30,2012.0
25,1627059900110,2021-07-24,2015.49,01:05:00,2015.0
26,1627060050110,2021-07-24,2010.01,01:07:30,2012.6
27,1627060200110,2021-07-24,2007.0,01:10:00,2010.0
28,1627060350110,2021-07-24,2005.11,01:12:30,2009.4
29,1627060500110,2021-07-24,2002.39,01:15:00,2005.2
30,1627060650110,2021-07-24,2012.54,01:17:30,2007.4
31,1627060800110,2021-07-24,2013.19,01:20:00,2013.4
32,1627060950110,2021-07-24,2010.07,01:22:30,2009.9
33,1627061100110,2021-07-24,2006.6,01:25:00,2005.5
34,1627061250110,2021-07-24,2008.8,01:27:30,2009.8
35,1627061400110,2021-07-24,2005.0,01:30:00,2005.0
36,1627061550110,2021-07-24,2006.88,01:32:30,2008.5
37,1627061700110,2021-07-24,1998.84,01:35:00,1998.6
38,1627061850110,2021-07-24,2007.2,01:37:30,2001.4
39,1627062000110,2021-07-24,2008.41,01:40:00,2008.4
40,1627062150110,2021-07-24,2004.99,01:42:30,2007.8
41,1627062300110,2021-07-24,2004.4,01:45:00,2002.8
42,1627062450110,2021-07-24,2000.87,01:47:30,2003.0
43,1627062600110,2021-07-24,2002.21,01:50:00,2002.4
44,1627062750110,2021-07-24,2006.81,01:52:30,2002.8
45,1627062900110,2021-07-24,2008.49,01:55:00,2005.8
46,1627063050110,2021-07-24,2013.46,01:57:30,2013.6
47,1627063200110,2021-07-24,2012.75,02:00:00,2012.8
48,1627063350110,2021-07-24,2010.2,02:02:30,2010.3
49,1627063500110,2021-07-24,2014.14,02:05:00,2009.9
50,1627063650110,2021-07-24,2009.99,02:07:30,2010.9
51,1627063800110,2021-07-24,2012.39,02:10:00,2008.2
52,1627063950110,2021-07-24,2013.41,02:12:30,2013.4
53,1627064100110,2021-07-24,2014.2,02:15:00,2013.5
54,1627064250110,2021-07-24,2010.81,02:17:30,2012.8
55,1627064400110,2021-07-24,2013.62,02:20:00,2011.3
56,1627064550110,2021-07-24,2014.6,02:22:30,2013.2
57,1627064700110,2021-07-24,2015.19,02:25:00,2014.6
58,1627064850110,2021-07-24,2019.2,02:27:30,2019.0
59,1627065000110,2021-07-24,2020.61,02:30:00,2019.1
60,1627065150110,2021-07-24,2019.32,02:32:30,2022.4
61,1627065300110,2021-07-24,2019.17,02:35:00,2019.0
62,1627065450110,2021-07-24,2016.83,02:37:30,2016.4
63,1627065600110,2021-07-24,2015.48,02:40:00,2016.8
64,1627065750110,2021-07-24,2015.37,02:42:30,2013.4
65,1627065900110,2021-07-24,2015.12,02:45:00,2014.0
66,1627066050110,2021-07-24,2017.09,02:47:30,2017.1
67,1627066200110,2021-07-24,2011.45,02:50:00,2010.9
68,1627066350110,2021-07-24,2009.79,02:52:30,2010.0
69,1627066500110,2021-07-24,2013.41,02:55:00,2009.6
70,1627066650110,2021-07-24,2013.78,02:57:30,2015.0
71,1627066800110,2021-07-24,2010.05,03:00:00,2009.9
72,1627066950110,2021-07-24,2013.77,03:02:30,2010.4
73,1627067100110,2021-07-24,2013.98,03:05:00,2015.2
74,1627067250110,2021-07-24,2016.3,03:07:30,2016.9
75,1627067400110,2021-07-24,2015.98,03:10:00,2016.4
76,1627067550110,2021-07-24,2016.4,03:12:30,2017.1
77,1627067700110,2021-07-24,2015.6,03:15:00,2014.6
78,1627067850110,2021-07-24,2016.05,03:17:30,2016.2
79,1627068000110,2021-07-24,2018.45,03:20:00,2018.0
80,1627068150110,2021-07-24,2014.37,03:22:30,2015.2
81,1627068300110,2021-07-24,2015.4,03:25:00,2013.6
82,1627068450110,2021-07-24,2017.98,03:27:30,2016.0
83,1627068600110,2021-07-24,2019.0,03:30:00,2019.0
84,1627068750110,2021-07-24,2016.41,03:32:30,2018.0
85,1627068900110,2021-07-24,2019.21,03:35:00,2018.2
86,1627069050110,2021-07-24,2017.01,03:37:30,2018.0
87,1627069200110,2021-07-24,2018.43,03:40:00,2017.5
88,1627069350110,2021-07-24,2019.99,03:42:30,2018.6
89,1627069500110,2021-07-24,2020.69,03:45:00,2020.0
90,1627069650110,2021-07-24,2022.4,03:47:30,2021.4
91,1627069800110,2021-07-24,2022.19,03:50:00,2021.2
92,1627069950110,2021-07-24,2022.7,03:52:30,2024.0
93,1627070100110,2021-07-24,2021.91,03:55:00,2022.4
94,1627070250110,2021-07-24,2021.44,03:57:30,2021.9
95,1627070400110,2021-07-24,2019.93,04:00:00,2021.4
96,1627070550110,2021-07-24,2018.31,04:02:30,2017.1
97,1627070700110,2021-07-24,2018.58,04:05:00,2016.1
98,1627070850110,2021-07-24,2024.41,04:07:30,2025.0
99,1627071000110,2021-07-24,2021.0,04:10:00,2024.6
100,1627071150110,2021-07-24,2027.19,04:12:30,2026.0
101,1627071300110,2021-07-24,2029.19,04:15:00,2028.0
102,1627071450110,2021-07-24,2032.06,04:17:30,2026.8
103,1627071600110,2021-07-24,2034.45,04:20:00,2035.6
104,1627071750110,2021-07-24,2035.39,04:22:30,2034.4
105,1627071900110,2021-07-24,2035.85,04:25:00,2035.2
106,1627072050110,2021-07-24,2033.81,04:27:30,2034.2
107,1627072200110,2021-07-24,2032.35,04:30:00,2032.4
108,1627072350110,2021-07-24,2033.0,04:32:30,2034.0
109,1627072500110,2021-07-24,2031.46,04:35:00,2030.8
110,1627072650110,2021-07-24,2035.82,04:37:30,2032.4
111,1627072800110,2021-07-24,2033.2,04:40:00,2036.4
112,1627072950110,2021-07-24,2032.2,04:42:30,2032.1
113,1627073100110,2021-07-24,2030.4,04:45:00,2032.0
114,1627073250110,2021-07-24,2035.2,04:47:30,2031.0
115,1627073400110,2021-07-24,2037.72,04:50:00,2036.4
116,1627073550110,2021-07-24,2038.69,04:52:30,2039.8
117,1627073700110,2021-07-24,2036.4,04:55:00,2037.8
118,1627073850110,2021-07-24,2037.65,04:57:30,2037.6
119,1627074000110,2021-07-24,2038.77,05:00:00,2037.3
120,1627074150110,2021-07-24,2037.34,05:02:30,2038.7
121,1627074300110,2021-07-24,2036.5,05:05:00,2036.8
122,1627074450110,2021-07-24,2038.4,05:07:30,2037.0
123,1627074600110,2021-07-24,2037.49,05:10:00,2039.8
124,1627074750110,2021-07-24,2042.9,05:12:30,2041.1
125,1627074900110,2021-07-24,2041.53,05:15:00,2041.0
126,1627075050110,2021-07-24,2040.99,05:17:30,2042.4
127,1627075200110,2021-07-24,2039.22,05:20:00,2038.2
128,1627075350110,2021-07-24,2041.8,05:22:30,2039.2
129,1627075500110,2021-07-24,2043.25,05:25:00,2044.0
130,1627075650110,2021-07-24,2043.89,05:27:30,2042.2
131,1627075800110,2021-07-24,2045.59,05:30:00,2046.0
132,1627075950110,2021-07-24,2043.51,05:32:30,2043.4
133,1627076100110,2021-07-24,2043.98,05:35:00,2044.0
134,1627076250110,2021-07-24,2043.77,05:37:30,2043.8
135,1627076400110,2021-07-24,2044.76,05:40:00,2044.0
136,1627076550110,2021-07-24,2046.53,05:42:30,2046.5
137,1627076700110,2021-07-24,2054.29,05:45:00,2050.2
138,1627076850110,2021-07-24,2049.57,05:47:30,2053.7
139,1627077000110,2021-07-24,2053.98,05:50:00,2053.6
140,1627077150110,2021-07-24,2054.15,05:52:30,2054.6
141,1627077300110,2021-07-24,2052.6,05:55:00,2053.2
142,1627077450110,2021-07-24,2054.0,05:57:30,2054.3
143,1627077600110,2021-07-24,2052.15,06:00:00,2054.4
144,1627077750110,2021-07-24,2053.18,06:02:30,2052.2
145,1627077900110,2021-07-24,2053.01,06:05:00,2053.2
146,1627078050110,2021-07-24,2052.81,06:07:30,2057.4
147,1627078200110,2021-07-24,2053.18,06:10:00,2052.8
148,1627078350110,2021-07-24,2056.25,06:12:30,2053.2
149,1627078500110,2021-07-24,2057.41,06:15:00,2056.2
150,1627078650110,2021-07-24,2055.6,06:17:30,2056.0
151,1627078800110,2021-07-24,2057.57,06:20:00,2056.8
152,1627078950110,2021-07-24,2059.82,06:22:30,2057.6
153,1627079100110,2021-07-24,2066.24,06:25:00,2063.5
154,1627079250110,2021-07-24,2063.27,06:27:30,2066.3
155,1627079400110,2021-07-24,2061.4,06:30:00,2061.2
156,1627079550110,2021-07-24,2072.78,06:32:30,2070.0
157,1627079700110,2021-07-24,2073.41,06:35:00,2073.0
158,1627079850110,2021-07-24,2076.79,06:37:30,2078.0
159,1627080000110,2021-07-24,2079.81,06:40:00,2080.0
160,1627080150110,2021-07-24,2080.4,06:42:30,2087.8
161,1627080300110,2021-07-24,2079.99,06:45:00,2077.4
162,1627080450110,2021-07-24,2075.27,06:47:30,2074.7
163,1627080600110,2021-07-24,2078.57,06:50:00,2077.5
164,1627080750110,2021-07-24,2080.63,06:52:30,2081.2
165,1627080900110,2021-07-24,2087.19,06:55:00,2086.4
166,1627081050110,2021-07-24,2090.2,06:57:30,2090.0
167,1627081200110,2021-07-24,2088.2,07:00:00,2087.8
168,1627081350110,2021-07-24,2085.27,07:02:30,2086.0
169,1627081500110,2021-07-24,2090.51,07:05:00,2086.9
170,1627081650110,2021-07-24,2087.6,07:07:30,2088.6
171,1627081800110,2021-07-24,2094.33,07:10:00,2093.4
172,1627081950110,2021-07-24,2094.2,07:12:30,2093.6
173,1627082100110,2021-07-24,2093.36,07:15:00,2092.4
174,1627082250110,2021-07-24,2091.23,07:17:30,2092.4
175,1627082400110,2021-07-24,2091.02,07:20:00,2091.2
176,1627082550110,2021-07-24,2095.2,07:22:30,2092.8
177,1627082700110,2021-07-24,2097.68,07:25:00,2098.0
178,1627082850110,2021-07-24,2093.25,07:27:30,2102.2
179,1627083000110,2021-07-24,2099.26,07:30:00,2093.7
180,1627083150110,2021-07-24,2096.64,07:32:30,2097.0
181,1627083300110,2021-07-24,2104.2,07:35:00,2105.0
182,1627083450110,2021-07-24,2103.76,07:37:30,2105.4
183,1627083600110,2021-07-24,2115.05,07:40:00,2110.0
184,1627083750110,2021-07-24,2109.04,07:42:30,2115.0
185,1627083900110,2021-07-24,2109.87,07:45:00,2106.8
186,1627084050110,2021-07-24,2113.39,07:47:30,2110.8
187,1627084200110,2021-07-24,2115.21,07:50:00,2113.4
188,1627084350110,2021-07-24,2119.29,07:52:30,2116.5
189,1627084500110,2021-07-24,2125.94,07:55:00,2125.0
190,1627084650110,2021-07-24,2122.99,07:57:30,2130.0
191,1627084800110,2021-07-24,2123.16,08:00:00,2123.4
192,1627084950110,2021-07-24,2113.0,08:02:30,2115.0
193,1627085100110,2021-07-24,2114.86,08:05:00,2107.6
194,1627085250110,2021-07-24,2114.81,08:07:30,2113.6
195,1627085400110,2021-07-24,2108.8,08:10:00,2108.4
196,1627085550110,2021-07-24,2113.36,08:12:30,2107.9
197,1627085700110,2021-07-24,2111.51,08:15:00,2113.8
198,1627085850110,2021-07-24,2115.53,08:17:30,2112.0
199,1627086000110,2021-07-24,2116.59,08:20:00,2116.8
200,1627086150110,2021-07-24,2118.52,08:22:30,2118.9
201,1627086300110,2021-07-24,2119.0,08:25:00,2118.4
202,1627086450110,2021-07-24,2117.74,08:27:30,2117.0
203,1627086600110,2021-07-24,2113.21,08:30:00,2113.2
204,1627086750110,2021-07-24,2118.2,08:32:30,2117.0
205,1627086900110,2021-07-24,2114.02,08:35:00,2117.9
206,1627087050110,2021-07-24,2118.55,08:37:30,2119.2
207,1627087200110,2021-07-24,2119.07,08:40:00,2118.5
208,1627087350110,2021-07-24,2121.01,08:42:30,2120.4
209,1627087500110,2021-07-24,2116.72,08:45:00,2119.2
210,1627087650110,2021-07-24,2114.0,08:47:30,2117.3
211,1627087800110,2021-07-24,2111.01,08:50:00,2112.0
212,1627087950110,2021-07-24,2113.17,08:52:30,2113.6
213,1627088100110,2021-07-24,2110.81,08:55:00,2113.2
214,1627088250110,2021-07-24,2109.63,08:57:30,2112.8
215,1627088400110,2021-07-24,2109.4,09:00:00,2107.0
216,1627088550110,2021-07-24,2110.55,09:02:30,2111.2
217,1627088700110,2021-07-24,2109.6,09:05:00,2108.0
218,1627088850110,2021-07-24,2112.01,09:07:30,2112.2
219,1627089000110,2021-07-24,2106.8,09:10:00,2106.6
220,1627089150110,2021-07-24,2108.56,09:12:30,2107.8
221,1627089300110,2021-07-24,2105.41,09:15:00,2109.7
222,1627089450110,2021-07-24,2110.16,09:17:30,2111.4
223,1627089600110,2021-07-24,2114.0,09:20:00,2115.0
224,1627089750110,2021-07-24,2112.86,09:22:30,2114.2
225,1627089900110,2021-07-24,2109.45,09:25:00,2113.2
226,1627090050110,2021-07-24,2109.8,09:27:30,2109.8
227,1627090200110,2021-07-24,2108.19,09:30:00,2108.8
228,1627090350110,2021-07-24,2107.55,09:32:30,2106.4
229,1627090500110,2021-07-24,2112.03,09:35:00,2110.4
230,1627090650110,2021-07-24,2112.6,09:37:30,2112.8
231,1627090800110,2021-07-24,2110.15,09:40:00,2109.8
232,1627090950110,2021-07-24,2113.36,09:42:30,2110.6
233,1627091100110,2021-07-24,2113.59,09:45:00,2113.6
234,1627091250110,2021-07-24,2115.41,09:47:30,2114.1
235,1627091400110,2021-07-24,2116.86,09:50:00,2115.8
236,1627091550110,2021-07-24,2118.66,09:52:30,2119.9
237,1627091700110,2021-07-24,2122.17,09:55:00,2121.8
238,1627091850110,2021-07-24,2124.18,09:57:30,2122.2
239,1627092000110,2021-07-24,2119.89,10:00:00,2123.3
240,1627092150110,2021-07-24,2118.78,10:02:30,2122.9
241,1627092300110,2021-07-24,2117.6,10:05:00,2117.4
242,1627092450110,2021-07-24,2115.18,10:07:30,2117.0
243,1627092600110,2021-07-24,2117.88,10:10:00,2117.7
244,1627092750110,2021-07-24,2120.52,10:12:30,2119.8
245,1627092900110,2021-07-24,2121.8,10:15:00,2120.7
246,1627093050110,2021-07-24,2117.76,10:17:30,2119.2
247,1627093200110,2021-07-24,2118.68,10:20:00,2118.6
248,1627093350110,2021-07-24,2118.07,10:22:30,2120.0
249,1627093500110,2021-07-24,2122.06,10:25:00,2120.4
250,1627093650110,2021-07-24,2119.66,10:27:30,2120.1
251,1627093800110,2021-07-24,2122.13,10:30:00,2121.0
252,1627093950110,2021-07-24,2119.59,10:32:30,2123.4
253,1627094100110,2021-07-24,2118.28,10:35:00,2118.6
254,1627094250110,2021-07-24,2117.6,10:37:30,2117.5
255,1627094400110,2021-07-24,2117.27,10:40:00,2116.3
256,1627094550110,2021-07-24,2114.52,10:42:30,2114.5
257,1627094700110,2021-07-24,2116.05,10:45:00,2115.8
258,1627094850110,2021-07-24,2117.66,10:47:30,2116.8
259,1627095000110,2021-07-24,2116.81,10:50:00,2117.4
260,1627095150110,2021-07-24,2115.83,10:52:30,2115.8
261,1627095300110,2021-07-24,2117.54,10:55:00,2114.6
262,1627095450110,2021-07-24,2117.88,10:57:30,2119.2
263,1627095600110,2021-07-24,2119.2,11:00:00,2120.7
264,1627095750110,2021-07-24,2118.6,11:02:30,2121.8
265,1627095900110,2021-07-24,2116.69,11:05:00,2116.7
266,1627096050110,2021-07-24,2118.44,11:07:30,2119.8
267,1627096200110,2021-07-24,2113.73,11:10:00,2113.8
268,1627096350110,2021-07-24,2113.79,11:12:30,2112.5
269,1627096500110,2021-07-24,2112.99,11:15:00,2114.3
270,1627096650110,2021-07-24,2114.0,11:17:30,2116.3
271,1627096800110,2021-07-24,2112.41,11:20:00,2116.0
272,1627096950110,2021-07-24,2114.61,11:22:30,2114.3
273,1627097100110,2021-07-24,2111.06,11:25:00,2113.1
274,1627097250110,2021-07-24,2113.79,11:27:30,2113.3
275,1627097400110,2021-07-24,2113.86,11:30:00,2114.4
276,1627097550110,2021-07-24,2117.19,11:32:30,2117.4
277,1627097700110,2021-07-24,2115.8,11:35:00,2118.2
278,1627097850110,2021-07-24,2117.6,11:37:30,2117.7
279,1627098000110,2021-07-24,2117.67,11:40:00,2118.0
280,1627098150110,2021-07-24,2114.63,11:42:30,2115.0
281,1627098300110,2021-07-24,2111.51,11:45:00,2113.8
282,1627098450110,2021-07-24,2115.3,11:47:30,2115.5
283,1627098600110,2021-07-24,2116.06,11:50:00,2116.1
284,1627098750110,2021-07-24,2117.99,11:52:30,2117.2
285,1627098900110,2021-07-24,2121.98,11:55:00,2119.8
286,1627099050110,2021-07-24,2131.35,11:57:30,2129.6
287,1627099200110,2021-07-24,2137.71,12:00:00,2137.1
288,1627099350110,2021-07-24,2139.79,12:02:30,2138.4
289,1627099500110,2021-07-24,2138.46,12:05:00,2140.6
290,1627099650110,2021-07-24,2133.51,12:07:30,2132.5
291,1627099800110,2021-07-24,2132.41,12:10:00,2130.5
292,1627099950110,2021-07-24,2134.57,12:12:30,2135.2
293,1627100100110,2021-07-24,2135.58,12:15:00,2134.5
294,1627100250110,2021-07-24,2130.41,12:17:30,2135.6
295,1627100400110,2021-07-24,2130.4,12:20:00,2132.1
296,1627100550110,2021-07-24,2126.79,12:22:30,2127.7
297,1627100700110,2021-07-24,2125.37,12:25:00,2125.6
298,1627100850110,2021-07-24,2127.36,12:27:30,2125.2
299,1627101000110,2021-07-24,2127.59,12:30:00,2128.4
300,1627101150110,2021-07-24,2131.33,12:32:30,2129.7
301,1627101300110,2021-07-24,2130.02,12:35:00,2130.7
302,1627101450110,2021-07-24,2127.55,12:37:30,2128.1
303,1627101600110,2021-07-24,2130.86,12:40:00,2129.0
304,1627101750110,2021-07-24,2129.52,12:42:30,2131.0
305,1627101900110,2021-07-24,2132.0,12:45:00,2131.2
306,1627102050110,2021-07-24,2137.4,12:47:30,2136.0
307,1627102200110,2021-07-24,2134.39,12:50:00,2139.9
308,1627102350110,2021-07-24,2128.19,12:52:30,2128.4
309,1627102500110,2021-07-24,2127.8,12:55:00,2129.4
310,1627102650110,2021-07-24,2128.78,12:57:30,2129.2
311,1627102800110,2021-07-24,2128.43,13:00:00,2128.7
312,1627102950110,2021-07-24,2127.72,13:02:30,2128.2
313,1627103100110,2021-07-24,2124.69,13:05:00,2127.2
314,1627103250110,2021-07-24,2125.18,13:07:30,2123.7
315,1627103400110,2021-07-24,2122.19,13:10:00,2122.7
316,1627103550110,2021-07-24,2123.34,13:12:30,2122.6
317,1627103700110,2021-07-24,2125.77,13:15:00,2125.8
318,1627103850110,2021-07-24,2123.19,13:17:30,2127.0
319,1627104000110,2021-07-24,2125.22,13:20:00,2126.2
320,1627104150110,2021-07-24,2125.91,13:22:30,2126.6
321,1627104300110,2021-07-24,2125.11,13:25:00,2127.1
322,1627104450110,2021-07-24,2126.99,13:27:30,2125.6
323,1627104600110,2021-07-24,2129.4,13:30:00,2130.4
324,1627104750110,2021-07-24,2130.4,13:32:30,2131.7
325,1627104900110,2021-07-24,2126.16,13:35:00,2128.1
326,1627105050110,2021-07-24,2124.6,13:37:30,2124.0
327,1627105200110,2021-07-24,2126.29,13:40:00,2127.8
328,1627105350110,2021-07-24,2125.4,13:42:30,2124.6
329,1627105500110,2021-07-24,2125.82,13:45:00,2125.4
330,1627105650110,2021-07-24,2130.59,13:47:30,2129.9
331,1627105800110,2021-07-24,2132.93,13:50:00,2132.7
332,1627105950110,2021-07-24,2132.04,13:52:30,2133.6
333,1627106100110,2021-07-24,2134.4,13:55:00,2133.8
334,1627106250110,2021-07-24,2132.51,13:57:30,2132.2
335,1627106400110,2021-07-24,2131.01,14:00:00,2130.8
336,1627106550110,2021-07-24,2130.0,14:02:30,2129.0
337,1627106700110,2021-07-24,2130.2,14:05:00,2130.4
338,1627106850110,2021-07-24,2128.3,14:07:30,2128.8
339,1627107000110,2021-07-24,2133.45,14:10:00,2129.2
340,1627107150110,2021-07-24,2133.25,14:12:30,2135.0
341,1627107300110,2021-07-24,2132.8,14:15:00,2132.2
342,1627107450110,2021-07-24,2134.39,14:17:30,2134.1
343,1627107600110,2021-07-24,2131.0,14:20:00,2131.7
344,1627107750110,2021-07-24,2130.62,14:22:30,2130.6
345,1627107900110,2021-07-24,2131.39,14:25:00,2130.2
346,1627108050110,2021-07-24,2135.59,14:27:30,2131.2
347,1627108200110,2021-07-24,2139.86,14:30:00,2134.6
348,1627108350110,2021-07-24,2134.4,14:32:30,2140.0
349,1627108500110,2021-07-24,2134.41,14:35:00,2134.4
350,1627108650110,2021-07-24,2135.64,14:37:30,2133.0
351,1627108800110,2021-07-24,2137.21,14:40:00,2138.5
352,1627108950110,2021-07-24,2137.6,14:42:30,2136.6
353,1627109100110,2021-07-24,2140.01,14:45:00,2139.4
354,1627109250110,2021-07-24,2140.36,14:47:30,2140.0
355,1627109400110,2021-07-24,2139.12,14:50:00,2140.0
356,1627109550110,2021-07-24,2137.2,14:52:30,2136.4
