,ts,day,updatetime,price,POC,delta
0,1627660950084,2021-07-31,00:02:30,2343.92,2342.1,-416.2599999999999
1,1627661100084,2021-07-31,00:05:00,2342.56,2345.0,-658.5200000000002
2,1627661250084,2021-07-31,00:07:30,2341.16,2340.9,128.0
3,1627661400084,2021-07-31,00:10:00,2348.05,2347.4,1588.0400000000002
4,1627661550084,2021-07-31,00:12:30,2340.64,2344.2,-2275.3
5,1627661700084,2021-07-31,00:15:00,2338.8,2340.0,-2005.1599999999996
6,1627661850084,2021-07-31,00:17:30,2339.04,2336.6,177.92000000000007
7,1627662000084,2021-07-31,00:20:00,2341.7,2341.8,150.38000000000022
8,1627662150084,2021-07-31,00:22:30,2342.29,2343.9,-377.3800000000001
9,1627662300084,2021-07-31,00:25:00,2344.05,2344.0,3021.200000000001
10,1627662450084,2021-07-31,00:27:30,2344.43,2342.1,215.70000000000005
11,1627662600084,2021-07-31,00:30:00,2338.65,2337.2,-673.8400000000001
12,1627662750084,2021-07-31,00:32:30,2341.32,2337.0,535.5199999999998
13,1627662900084,2021-07-31,00:35:00,2342.15,2341.3,566.24
14,1627663050084,2021-07-31,00:37:30,2337.8,2340.2,-668.5200000000001
15,1627663200084,2021-07-31,00:40:00,2336.97,2338.0,53.93999999999983
16,1627663350084,2021-07-31,00:42:30,2338.12,2338.2,136.67999999999995
17,1627663500084,2021-07-31,00:45:00,2338.79,2337.2,-563.7199999999999
18,1627663650084,2021-07-31,00:47:30,2335.79,2335.8,-453.4
19,1627663800084,2021-07-31,00:50:00,2338.66,2335.5,439.9
20,1627663950084,2021-07-31,00:52:30,2336.84,2337.7,-282.68000000000006
21,1627664100084,2021-07-31,00:55:00,2335.9,2338.6,-49.84000000000003
22,1627664250084,2021-07-31,00:57:30,2336.03,2337.0,-142.9999999999999
23,1627664400084,2021-07-31,01:00:00,2333.0,2336.0,-663.78
24,1627664550084,2021-07-31,01:02:30,2335.4,2334.6,-750.6200000000001
25,1627664700084,2021-07-31,01:05:00,2333.94,2337.5,68.38000000000011
26,1627664850084,2021-07-31,01:07:30,2336.86,2337.8,597.8999999999999
27,1627665000084,2021-07-31,01:10:00,2339.24,2339.6,410.92
28,1627665150084,2021-07-31,01:12:30,2338.67,2339.9,-261.6599999999999
29,1627665300084,2021-07-31,01:15:00,2337.78,2337.4,-278.86
30,1627665450084,2021-07-31,01:17:30,2338.35,2338.4,126.9800000000001
31,1627665600084,2021-07-31,01:20:00,2342.59,2341.0,1285.1000000000004
32,1627665750084,2021-07-31,01:22:30,2340.98,2341.8,-137.74000000000007
33,1627665900084,2021-07-31,01:25:00,2342.29,2341.0,-69.39999999999992
34,1627666050084,2021-07-31,01:27:30,2341.9,2342.5,-45.90000000000009
35,1627666200084,2021-07-31,01:30:00,2342.34,2340.1,13.700000000000044
36,1627666350084,2021-07-31,01:32:30,2343.79,2342.9,-132.55999999999997
37,1627666500084,2021-07-31,01:35:00,2344.44,2343.9,1054.6799999999996
38,1627666650084,2021-07-31,01:37:30,2344.52,2344.4,-2604.019999999999
39,1627666800084,2021-07-31,01:40:00,2347.2,2344.6,534.1199999999999
40,1627666950084,2021-07-31,01:42:30,2346.8,2347.5,646.5199999999999
41,1627667100084,2021-07-31,01:45:00,2348.23,2347.9,1029.0199999999998
42,1627667250084,2021-07-31,01:47:30,2347.26,2346.7,136.52000000000015
43,1627667400084,2021-07-31,01:50:00,2352.37,2351.0,1495.52
44,1627667550084,2021-07-31,01:52:30,2351.8,2353.4,188.58000000000013
45,1627667700084,2021-07-31,01:55:00,2350.95,2351.6,-487.58000000000015
46,1627667850084,2021-07-31,01:57:30,2351.59,2351.2,146.79999999999995
47,1627668000084,2021-07-31,02:00:00,2352.07,2351.5,206.36000000000007
48,1627668150084,2021-07-31,02:02:30,2346.47,2350.0,-1930.86
49,1627668300084,2021-07-31,02:05:00,2347.79,2346.6,275.6200000000001
50,1627668450084,2021-07-31,02:07:30,2342.69,2345.0,-341.2
51,1627668600084,2021-07-31,02:10:00,2341.64,2340.4,-40.53999999999997
52,1627668750084,2021-07-31,02:12:30,2342.19,2342.7,237.98
53,1627668900084,2021-07-31,02:15:00,2344.84,2341.8,314.8999999999999
54,1627669050084,2021-07-31,02:17:30,2344.33,2345.0,-22.160000000000025
55,1627669200084,2021-07-31,02:20:00,2347.98,2343.0,671.4199999999997
56,1627669350084,2021-07-31,02:22:30,2347.91,2347.3,55.21999999999997
57,1627669500084,2021-07-31,02:25:00,2347.95,2347.2,-33.06000000000009
58,1627669650084,2021-07-31,02:27:30,2347.57,2348.0,-35.999999999999886
59,1627669800084,2021-07-31,02:30:00,2346.75,2347.8,-221.89999999999995
60,1627669950084,2021-07-31,02:32:30,2348.02,2348.0,155.85999999999996
