time,lat,lng,七级半径（公里）,十级半径（公里）,十二级半径（公里）
7月24日0点0分,124.9,25.1,300,100,40
7月24日0点05分,124.9,25.11666667,300,100,40
7月24日0点10分,124.9,25.13333333,300,100,40
7月24日0点15分,124.9,25.15,300,100,40
7月24日0点20分,124.9,25.16666667,300,100,40
7月24日0点25分,124.9,25.18333333,300,100,40
7月24日0点30分,124.9,25.2,300,100,40
7月24日0点35分,124.9,25.21666667,300,100,40
7月24日0点40分,124.9,25.23333333,300,100,40
7月24日0点45分,124.9,25.25,300,100,40
7月24日0点50分,124.9,25.26666667,300,100,40
7月24日0点55分,124.9,25.28333333,300,100,40
7月24日1点0分,124.9,25.3,300,100,40
7月24日1点05分,124.8916667,25.30833333,300,100,40
7月24日1点10分,124.8833333,25.31666667,300,100,40
7月24日1点15分,124.875,25.325,300,100,40
7月24日1点20分,124.8666667,25.33333333,300,100,40
7月24日1点25分,124.8583333,25.34166667,300,100,40
7月24日1点30分,124.85,25.35,300,100,40
7月24日1点35分,124.8416667,25.35833333,300,100,40
7月24日1点40分,124.8333333,25.36666667,300,100,40
7月24日1点45分,124.825,25.375,300,100,40
7月24日1点50分,124.8166667,25.38333333,300,100,40
7月24日1点55分,124.8083333,25.39166667,300,100,40
7月24日2点0分,124.8,25.4,300,100,40
7月24日2点05分,124.8,25.40833333,300,100,40
7月24日2点0分,124.8,25.41666667,300,100,40
7月24日2点05分,124.8,25.425,300,100,40
7月24日2点0分,124.8,25.43333333,300,100,40
7月24日2点05分,124.8,25.44166667,300,100,40
7月24日2点0分,124.8,25.45,300,100,40
7月24日2点05分,124.8,25.45833333,300,100,40
7月24日2点0分,124.8,25.46666667,300,100,40
7月24日2点05分,124.8,25.475,300,100,40
7月24日2点0分,124.8,25.48333333,300,100,40
7月24日2点05分,124.8,25.49166667,300,100,40
7月24日3点0分,124.8,25.5,300,100,40
7月24日3点05分,124.7916667,25.50833333,300,100,40
7月24日3点10分,124.7833333,25.51666667,300,100,40
7月24日3点15分,124.775,25.525,300,100,40
7月24日3点20分,124.7666667,25.53333333,300,100,40
7月24日3点25分,124.7583333,25.54166667,300,100,40
7月24日3点30分,124.75,25.55,300,100,40
7月24日3点35分,124.7416667,25.55833333,300,100,40
7月24日3点40分,124.7333333,25.56666667,300,100,40
7月24日3点45分,124.725,25.575,300,100,40
7月24日3点50分,124.7166667,25.58333333,300,100,40
7月24日3点55分,124.7083333,25.59166667,300,100,40
7月24日4点0分,124.7,25.6,300,100,40
7月24日4点05分,124.6916667,25.61666667,300,100,40
7月24日4点10分,124.6833333,25.63333333,300,100,40
7月24日4点15分,124.675,25.65,300,100,40
7月24日4点20分,124.6666667,25.66666667,300,100,40
7月24日4点25分,124.6583333,25.68333333,300,100,40
7月24日4点30分,124.65,25.7,300,100,40
7月24日4点35分,124.6416667,25.71666667,300,100,40
7月24日4点40分,124.6333333,25.73333333,300,100,40
7月24日4点45分,124.625,25.75,300,100,40
7月24日4点50分,124.6166667,25.76666667,300,100,40
7月24日4点55分,124.6083333,25.78333333,300,100,40
7月24日5点0分,124.6,25.8,300,100,40
7月24日5点05分,124.6,25.80833333,300,100,40
7月24日5点10分,124.6,25.81666667,300,100,40
7月24日5点15分,124.6,25.825,300,100,40
7月24日5点20分,124.6,25.83333333,300,100,40
7月24日5点25分,124.6,25.84166667,300,100,40
7月24日5点30分,124.6,25.85,300,100,40
7月24日5点35分,124.6,25.85833333,300,100,40
7月24日5点40分,124.6,25.86666667,300,100,40
7月24日5点45分,124.6,25.875,300,100,40
7月24日5点50分,124.6,25.88333333,300,100,40
7月24日5点55分,124.6,25.89166667,300,100,40
7月24日6点0分,124.6,25.9,300,100,40
7月24日6点05分,124.6,25.90833333,300,100,40
7月24日6点10分,124.6,25.91666667,300,100,40
7月24日6点15分,124.6,25.925,300,100,40
